sku,manufacturer_sku,ean,brand,product_type,title
"BN-0881-S","","","Bien","","Bien Instant Sanitizer Spray 4 lt"
"BN-0904","","","Bien","","Bien Antistatic General Disinfectant Rose 750ml"
"BN-0911","","","Bien","","Bien Antistatic Antibacterial General Cleaner Concentrated Lemon Blossom 4L – Multi-Surface Disinfectant & Dust Repellent"
"BN-0935","","","Bien","","Bien Antistatic General Disinfectant Rose 4 lt"
"BN-0997","997","","Bien","","Bien Creamy Antibacterial Hand & Body Soap Silky Berry 4 lt"
"BN-1017","","","Bien","","Bien Hand & Body Antibacterial Bubble Soap Ocean Breeze 0.4L – Gentle & Effective Liquid Soap for Daily Hygiene"
"BN-1147","","","Bien","","Bien Bathroom Cleaner Fresh Forest 750ml"
"BN-1178","","","Bien","","Bien Chlorine 3% 1100ml"
"BN-1239","1239","","Bien","","Bien Antibacterial Bubble Soap Ocean Breeze 4 lt"
"BN-1277","","","Bien","","Bien Creamy Antibacterial Hand & Body Soap Wild Berries 4 lt"
"BN-1338","","","Bien","","Bien Toilet Cleaner Spring Pine 4 lt"
"BN-1345","","","Bien","","Bien Toilet & Bathroom Cleaner Fresh Forest 4lt"
"BN-1353","","","Bien","","Bien Bathroom Cleaner Flower Bouquet 4L"
"BN-1383","","","Bien","","Bien Ultrashine Concentrated Plates Washing Liquid 750ml"
"BN-1444","","","Bien","","Bien Window Cleaner Antistatic 750 ml"
"BN-1550","","","Bien","","Bien Fabric Softener Soft Pink 4lt"
"BN-1581","","","Bien","","Bien BleachGel 3% 1100ml"
"BN-1598","","","Bien","","Bien BleachGel 3% 4 lt"
"BN-1604","","","Bien","","Alcohol Lotion Spray 99.99% 4lt"
"BN-1703","","","Bien","","Bientoll Antiseptic Surface Cleaner Spray 750ml Vanilla Planifolia"
"BN-1796","","","Bien","","Bientoll All-In-One Antiseptic Disinfectant for Surfaces, Citrus Blossom 4lt"
"BN-AUTO-AEROSOL-MACHINE","","","Bien","","Auto Aerosol Dispenser"
"BN-AUTO-SPRAY-DISPENSER","","","Bien","","Dispenser Automatic with Sensor for Spray / Gel"
"BN-San-Gel-4lt","","","Bien","","Bien Instant Sanitizer Gel 4 lt"
"AMZ-DE-B0FYW8HDH5","","","Black & Decker","","Black & Decker HEPA Filters with Sponge"
"08-BCH6ATH25","BCH6ATH25","787162844665","Bosch","","Bosch BCH6ATH25 Vacuum Cleaner"
"08-MCP3000","MCP3000","","Bosch","","Bosch MCP3000 Juicer, White"
"08-MFW67440","MFW67440","4057057555850","Bosch","","Bosch Meat Grinder with a Power of 700 W MFW67440, Black / Silver"
"08-MMR08R2","MMR08R2","4242002742274","Bosch","","Bosch MMR08R2 Food Chopper, 400W, Red/Grey"
"08-TWK8613P","TWK8613P","4242002824598","Bosch","","Bosch TWK8613P Styline Kettle – 1.5L Capacity, 2400W, Temperature Control, Keep Warm Function – Black/Stainless Steel"
"HADJ-BSC-SMS4ENI06E","BSC-SMS4ENI06E","","Bosch","","Bosch SMS4ENI06E Freestanding Dishwasher 60cm, Silver"
"SL-COMPETITOR1500","COMPETITOR1500","690283150945","Boston Acoustics","","Boston Acoustics Competitor 1500 Premium Performance 15'' Car Subwoofer"
"3G-HC5310","HC5310","4210201448679","Braun","","Braun Hair Clipper Series 5 HC5310, Men's Hair Clipper with 9 Length Settings"
"BR-MGK7","","","Braun","Trimmer","Braun MGK7 Multi Grooming Kit"
"BR-S9-4200","","","Braun","Shaver","Braun Series 9 Electric Shaver 4200"
"IT45602","SI3041GR","8021098270672","Braun","","Braun SI3041GR Steam Iron, Green"
"IT45603","SI3053BL","8021098270696","Braun","","Braun SI3053BL Steam Iron, Blue"
"IT45604","SI3055BK","8021098270719","Braun","","Braun SI3055BK Steam Iron, Black "
"IT47397","IB3001BK","8021098280480","Braun","IRON BOARD","Braun IS1012BL Iron Board,"
"IT57699","SI3030PU","8021098270665","Braun","","Braun SI3030PU TexStyle 3 Steam Iron, 2300W, Purple & White"
"IT57834","IS1012BL","8021098280503","Braun","","Braun IS1012BL Steam Iron System, 5.5 Bar, Blue "
"IT60281","IS7286BK","8021098001023","Braun","","Braun IS7286BK Steam Iron System, 8 Bar, Black "
"IT62908","PV2600 GLIDEPRO","8422160051401","Braun","","Ufesa PV2600 Glidepro Steam Iron 2600W Blk"
"IT62942","IS1514VI ","8021098002808","Braun","","Braun IS1514VI Steam Iron System, 6 Bar, Violet "
"IT64555","SI1080VI","8021098000811","Braun","","Braun SI1080VI Steam Iron 2000W,Violet"
"IT65875","IS7266VI","8021098002372","Braun","","Braun IS7266VI Steam Iron System, 7.5 bar, Violet "
"IT65876","IS7282BL","8021098001016","Braun","","Braun IS7282BL Steam Iron System, 8 bar, Blue"
"IT69288","","8021098003928","Braun","","Braun GS5011 Quick Style 7 V/Iron W/P, White "
